Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Terence Davis,SG,25,SAC,3,3.3,.500,.600,9.7
Isaiah Hartenstein,C,24,NYK,3,3.7,.550,.575,9.7
Monte Morris,PG,27,WAS,3,3.7,.500,.614,9.7
Grant Williams,PF,24,BOS,4,3.0,.706,.941,9.5
Jalen Duren,C,19,DET,3,4.7,.583,.583,9.3
Jeff Green,PF,36,DEN,4,3.3,.565,.652,9.3
Kevin Love,PF,34,CLE,3,3.3,.476,.643,9.3
Jalen McDaniels,SF,25,CHO,3,3.3,.556,.722,9.3
Mason Plumlee,C,32,CHO,3,3.7,.611,.611,9.3
Obi Toppin,PF,24,NYK,3,4.0,.571,.619,9.3
Reggie Bullock,SF,31,DAL,2,3.0,.545,.773,9
Tyler Dorsey,SG,26,DAL,1,4.0,1.000,1.125,9
Tari Eason,SF,21,HOU,4,3.5,.424,.485,9
Derrick Jones Jr.,SF,25,CHI,2,2.0,.571,.643,9
Robin Lopez,C,34,CLE,2,4.5,.818,.818,9
Andrew Nembhard,SG,23,IND,3,3.3,.417,.521,9
Onyeka Okongwu,C,22,ATL,3,3.7,.688,.688,8.7
Mitchell Robinson,C,24,NYK,3,3.7,.846,.846,8.7
Ivica Zubac,C,25,LAC,3,3.7,.647,.647,8.7
Brandon Clarke,PF,26,MEM,4,3.3,.650,.650,8.3
Royce O'Neale,SF,29,BRK,3,3.0,.346,.442,8.3
Dean Wade,PF,26,CLE,3,2.7,.727,.909,8.3
Clint Capela,C,28,ATL,3,3.7,.647,.647,8
Draymond Green,PF,32,GSW,3,3.0,.600,.633,8
AJ Griffin,SF,19,ATL,1,3.0,.750,1.000,8
Isaiah Jackson,PF,21,IND,4,2.5,.500,.500,8
Luke Kennard,SG,26,LAC,3,3.0,.429,.524,8
Isaiah Livers,PF,24,DET,1,3.0,.500,.667,8
Landry Shamet,SG,25,PHO,1,2.0,.400,.600,8
Kenyon Martin Jr.,SF,22,HOU,4,2.8,.344,.406,7.8
Doug McDermott,SF,31,SAS,4,3.0,.444,.574,7.8
Gabe Vincent,PG,26,MIA,4,3.0,.444,.519,7.8
Al Horford,C,36,BOS,3,2.7,.421,.605,7.7
Chris Paul,PG,37,PHO,3,3.0,.321,.339,7.7
Goran Dragić,PG,36,CHI,4,2.8,.407,.500,7.5
Jordan Nwora,SF,24,MIL,2,3.0,.545,.682,7.5
Andre Drummond,C,29,CHI,4,2.8,.478,.478,7.3
Reggie Jackson,PG,32,LAC,3,2.3,.368,.474,7.3
Herbert Jones,SF,24,NOP,3,2.3,.368,.395,7.3
Jock Landale,C,27,PHO,3,2.7,.444,.472,7.3
Malik Monk,SG,24,SAC,3,2.7,.308,.423,7.3
Cameron Payne,PG,28,PHO,3,2.7,.381,.452,7.3
Taurean Prince,PF,28,MIN,4,2.8,.611,.806,7.3
Justise Winslow,SF,26,POR,3,2.7,.381,.405,7.3
Harrison Barnes,SF,30,SAC,3,2.3,.368,.368,7
Damion Lee,SG,30,PHO,3,2.3,.412,.559,7
Aaron Nesmith,SF,23,IND,4,2.8,.355,.419,7
Norman Powell,SG,29,LAC,3,2.3,.259,.278,7
Joshua Primo,SG,20,SAS,4,2.3,.346,.404,7
Delon Wright,PG,30,WAS,3,2.7,.400,.450,7
Chris Duarte,SF,25,IND,4,2.5,.313,.359,6.8
Talen Horton-Tucker,SG,22,UTA,4,2.8,.423,.462,6.8
Nassir Little,PF,22,POR,4,2.8,.579,.684,6.8
